date,title,summary,url
2026-07-07,"Ottawa announces investment of up to $400M in Teck critical minerals smelter in Trail, B.C.","▶ 캐나다 정부가 경제 주권과 안보 확보를 위해 '비판적 광물 가속화 프로그램'의 첫 지원 대상으로 테크 리소시스(Teck Resources)의 트레일 제련소를 선정하고 최대 4억 달러를 투자하기로 발표함
▶ 이번 투자를 통해 반도체, 광섬유, 방산 레이더 등에 필수적이지만 중국이 공급을 독점하고 있는 게르마늄과 안티모니 생산량을 두 배로 늘리고 갈륨 생산 능력을 새로 확충할 계획임
▶ 캐나다 연방정부는 미래 생산량의 일부를 구매해 자국 내 전략 비축량을 구축할 수 있는 권리도 확보했으며, 이를 통해 중·러와의 무역 전쟁 및 지정학적 위기 속에서 나토(NATO) 동맹국들과 함께 대중국 자원 의존도를 낮추고자 함",https://www.cbc.ca/news/canada/british-columbia/trail-smelter-9.7261998
2026-07-06,Why Peru wants to shift its relationship with China beyond raw mineral supplies,"▶ 페루가 구리·철 등 원자재 수출에 90% 이상 의존하는 대중국 교역 구조에서 벗어나, 배터리 생산 등 제조업 투자 유치와 경제 다변화를 목표로 하는 새로운 경제 협력 단계를 추진하고 있음
▶ 이를 위해 중국 자본이 투입된 35억 달러 규모의 찬카이항을 남미 물류 허브로 키우고 특구 세제 혜택을 제공하는 등 현지 산업화를 도모하고 있음",https://www.scmp.com/news/china/diplomacy/article/3359631/why-peru-wants-shift-its-relationship-china-beyond-raw-mineral-supplies
2026-07-05,China accused of foreign interference over remote WA mine,"▶ 미사일·전투기 제조에 필수적인 중희토류가 풍부해 중국의 독점을 깰 핵심 요충지로 꼽히는 호주 '노던 미네랄스' 광산에 대해, 중국이 우회 투자를 통해 개발을 통제하고 방해하려 했다는 외국인 간섭 의혹이 제기됨
▶ 호주 정부가 안보 이유로 중국계 주주들에게 지분 매각을 명령했으나, 섀도우 컴퍼니 등을 통한 편법 양도로 우회 지배를 시도하고 있음
▶ 트럼프 미 행정부와 호주 정부가 공급망 다변화를 위해 해당 광산에 합작 투자를 조율 중인 가운데, 호주 정계는 중국의 간섭에 강경 대응을 촉구하고 있으며 중국 측은 '탈중국화'라며 반발하고 있음",https://www.nine.com.au/australia-news/china-accused-of-foreign-interference-over-remote-wa-mine-20260703-p60ci1.html
2026-06-29,Korea Zinc Strengthens Cooperation with Australia on Critical Minerals Supply Chain,"▶ 최윤범 고려아연 회장이 호주 총리 및 퀸즐랜드 주지사와 연쇄 회동을 갖고, 핵심 광물 공급망 구축과 친환경 에너지 전환을 위한 협력 방안을 논의함
▶ 퀸즐랜드 주정부는 미국 정부와 진행 중인 광물 협력 논의와 연계하여, 고려아연이 미국에서 추진 중인 통합 핵심 광물 제련소 사업과의 협력 기회를 모색하기로 함
▶ 고려아연은 호주 자회사 SMC의 광물 생산 확대를 바탕으로 태양광·풍력·그린 수소 등 신재생 에너지 중심의 미래 성장 전략인 '트로이카 드라이브'를 가속화할 방침임",https://www.asiae.co.kr/en/article/2026062916254065182
2026-06-28,Trump Cut a Billion-Dollar Mining Deal. His Sons Stand to Profit,"▶ 미국 정부가 전투기 등에 필수적인 핵심 광물 '텅스텐'을 확보하기 위해 카자흐스탄과 대규모 채굴 협정을 체결했으나, 이 과정에서 트럼프 대통령과 러트닉 상무장관의 자녀들이 개입해 사익을 챙겼다는 의혹이 제기됨
▶ 정부 간 자금 지원 논의가 오간 직후, 트럼프 주니어와 에릭 트럼프의 투자사가 카자흐스탄 광물 사업권 지분 20%를 인수했고, 러트닉 장관의 아들들이 운영하는 금융사 역시 자금 조달을 도우며 수익을 올림
▶ 중국의 공급망 무기화에 맞선 국가 안보 사업을 추진하면서 최고위층 자녀들이 배후에서 사적 이익을 추구하는 이익 상충 논란이 불거져 거센 비판을 받고 있음",https://www.nytimes.com/2026/06/28/world/europe/trump-lutnick-sons-kazakhstan.html
2026-06-25,Army Will Lease Land on Bases for Critical Mineral Production,"▶ 미 육군은 중국의 공급망 독점에 대응하기 위해 국내 군사기지 부지를 민간 광물 기업들에 임대하여 핵심 광물(흑연, 리튬, 붕소, 희토류) 제련 및 가공 공장을 건설하도록 하는 파격적인 정책을 발표함
▶ 타이탄 마이닝, 에너지X 등 선정된 기업들은 약 20억 달러를 투자해 2027년부터 공장 건설에 나설 예정이며, 육군은 현금 임대료 대신 제련된 광물 출력물의 일정 비율을 직접 인도받아 드론, 방탄복 등 군사 장비 제조업에 활용할 계획임",https://www.wsj.com/politics/national-security/army-will-lease-land-on-bases-for-critical-mineral-production-e714d576
2026-06-24,US targets Cuba mining sector in move with implications for China-linked supply chains,"▶ 트럼프 행정부는 중국계 엔지니어링 및 자금이 투입된 쿠바 국영 광물 기업 '지오미네라'를 제재하며, 핵심 광물 공급망 내 적대국 흔적 지우기에 나섬
▶ 이와 함께 쿠바 군부 산하의 핵심 물류 및 금융 인프라 기업들도 제재 명단에 추가하여 외자 유치 경로를 전방위로 차단함",https://www.scmp.com/news/china/diplomacy/article/3358112/us-targets-cuba-mining-sector-move-implications-china-linked-supply-chains
2026-06-24,China Pressures Takaichi with Critical Mineral Export Restrictions,"▶ 중국은 다카이치 사나에 일본 총리의 대만 관련 발언에 대한 반발로 텅스텐, 디스프로슘, 터븀, 이트륨 등 일본의 EV 및 반도체 제조업에 필수적인 핵심 광물의 대일 수출을 사실상 중단·제한하는 표적 압박을 가하고 있음
▶ 일본 기업들이 재고 소진과 대체 공급망 확보에 어려움을 겪으며 우려를 표하고 있으나, 일본 대사의 면담 요청이 거부되는 등 양국 간 외교 채널은 사실상 마비된 상태임",https://www.asiae.co.kr/en/article/2026062414270508920
2026-06-22,UK to invest $66 million in critical minerals to reduce import reliance,"▶ 영국 정부가 핵심 광물의 해외 의존도를 낮추고 경제 회복력을 강화하기 위해 5,000만 파운드(약 6,600만 달러) 규모의 추가 투자 계획을 발표함
▶ 이번 자금은 희토류 자석 허브 조성(2,000만 파운드), 프로젝트 확장 가속화(2,500만 파운드), 민간 투자 유치용 산업 수요 통합 플랫폼(500만 파운드) 등 3대 축을 중심으로 채굴, 가공, 재활용 전반에 투입됨",https://www.reuters.com/world/uk/uk-invest-66-million-critical-minerals-reduce-import-reliance-2026-06-21/
2026-06-21,Is the G7 Building a Critical Minerals NATO?,"▶ G7 국가들은 지난 3년간 각국의 광물 안보 구상을 통합하며 우방국 간의 거대한 핵심 광물 공급망 프레임워크를 구축 중임
▶ 공식 기구는 없으나 중국의 자원 무기화에 대응해 광물을 방산·안보와 직결된 전략 자산으로 다루며 '광물 나토(NATO)'식 집단 대응 체제를 형성하는 모습을 보임",https://investornews.com/market-opinion/is-the-g7-building-a-critical-minerals-nato/
2026-06-20,China’s key minerals exports to Japan stay at low levels in May,"▶ 중국의 대일본 핵심 광물 수출이 다수의 텅스텐 품목과 디스프로슘, 터븀 등 핵심 희토류 항목에서 지난 5월 기준 수치 '0'을 기록하며 이례적인 저조세를 이어감
▶ 이는 다카이치 사나에 일본 총리의 대만 관련 발언에 반발한 중국 정부가 올해 1월부터 민군 겸용 품목에 대한 대일본 수출 통제 및 심사를 대폭 강화했기 때문임
▶ 미쓰비시 머티리얼즈 등 일본 기업들은 대체 공급망 확보로 대응 중이며, 일본 정부는 지난주 G7 정상회의에 참석해 특정국에 대한 희토류 의존도를 60% 미만으로 낮추기로 합의함",https://www.japantimes.co.jp/business/2026/06/20/china-japan-mineral-exports-low/
2026-06-18,China defends critical minerals export controls after G7 statement,"▶ 중국 외교부는 핵심 광물 수출 통제 조치가 세계 평화와 국제 의무 이행을 위한 정당한 관례라며 정당성을 주장함
▶ G7 정상들이 대중국 광물 의존도를 낮추기로 합의하자, 중국은 국제 무역 질서를 해치는 '소집단 규정' 강요를 중단하라며 반발함
▶ 서방은 지난해 중국의 영구자석 규제 이후 공급망 다변화를 서두르고 있으며, 2030년까지 대중국 희토류 의존도를 60% 미만으로 낮추겠다는 목표를 세움",https://www.reuters.com/world/asia-pacific/china-defends-critical-minerals-export-controls-after-g7-statement-2026-06-18/
2026-06-17,G7 leaders tackle reliance on China for critical minerals,"▶ 프랑스 에비앙레뱅에서 열린 G7 정상회의 마지막 날, 의장국인 프랑스는 핵심 광물의 대중국 의존도를 낮추고 자국 투자자를 보호하기 위한 공동 성명 채택을 추진함
▶ 이번 회의에서는 가격 지지, 보조금, 구매 보증 등 서방 중심의 공급망 확보 방안이 논의되었으나, 미국의 양자 협상 및 AI 기반 가격 책정안(OPEN 모델)에 대해 G7 동맹국들이 거버넌스와 비용 문제로 회의적인 반응을 보이며 이견을 드러냄
▶ G7 지도자들은 핵심 광물 외에도 중국의 과잉 생산과 불공정 보조금으로 인한 글로벌 경제 불균형(제2의 차이나 쇼크) 대응책을 논의했으며, 인공지능(AI)의 글로벌 거버넌스 및 신뢰성 문제도 함께 다룸",https://www.globalbankingandfinance.com/g7-leaders-tackle-reliance-china-critical-minerals/
2026-06-17,"Canada secures new defense, critical minerals partnerships at G7 summit","▶ 마크 카니 캐나다 총리는 프랑스 에비앙 G7 정상회의에서 8개국 이상과 총 13개의 새로운 국방 및 핵심 광물 파트너십을 체결했다고 발표함
▶ 이번 협정은 캐나다 주도로 출범한 '핵심 광물 복원력 및 생산 동맹'을 통해 추진되었으며, 국내 가치 사슬 전반에 걸쳐 50억 달러 이상의 자본 투자를 유치할 것으로 기대됨
▶ 주요 광물 사업으로 독일, 일본, 이탈리아, 프랑스 기업들이 캐나다 현지 광산 및 정제 프로젝트에 투자하기로 했으며, 한국·프랑스·독일·이탈리아는 광물 비축 이니셔티브 동참 의사를 밝힘
▶ 국방 분야에서는 EU의 안보 조치(SAFE) 이니셔티브를 통해 폴란드 공군에 전술 라디오를 공급하는 첫 조달 계약을 따냈으며, 이탈리아와는 고등훈련기(M-346) 도입 협상을, 인도·독일과는 정보보호협정(GSOIA) 협상을 시작하기로 합의함",https://www.aa.com.tr/en/americas/canada-secures-new-defense-critical-minerals-partnerships-at-g7-summit/3970163
2026-06-15,"Insight: Trump's critical minerals pricing plan faces skeptical G7, divided industry","▶ 트럼프 행정부의 핵심 광물 가격 규제 및 무역 블록 구상이 G7 우방국의 회의론과 미국 내 광산업계의 분열로 난항을 겪고 있음
▶ 미 국방부 AI(OPEN) 기반 가격 책정 방식에 대해 유럽 국가들이 미국 주도의 가격 통제를 우려하며 시장 중심 인덱스를 선호하고 있음
▶ 미국은 신속한 양자 협상을 선호하나 프랑스·캐나다는 G7 중심 다자 협력 및 영구 사무국 설치를 주장하며 대립 중",https://www.reuters.com/world/americas/trumps-critical-minerals-pricing-plan-faces-skeptical-g7-divided-industry-2026-06-15/
2026-06-15,Ontario Secures Critical Mineral Agreement with United Kingdom to Strengthen Allied Supply Chains,"▶ 캐나다 온타리오주와 영국 정부는 동맹국 간 핵심 광물 공급망을 강화하고 대서양 횡단 협력을 공고히 하기 위한 의향서(SOI)를 체결함
▶ 이번 협정은 글로벌 정제 용량의 최대 90%를 통제하는 중국에 대한 의존도를 낮추고, 배터리·전기차·방산에 필수적인 니켈, 리튬, 코발트 등의 공급망 복원력을 높이는 것이 목적임
▶ 양측은 공공·민간·학계 연계를 통한 신규 투자 기회 창출, 광물 가치 사슬 전반의 연구·혁신 촉진, 지속 가능한 공급망 개발에 공동 협력하기로 함",https://dawngallaghermurphympp.ca/ontario-secures-critical-mineral-agreement-with-united-kingdom-to-strengthen-allied-supply-chains/
2026-06-10,Critical Minerals Open New Chapter in US-Central Asia Relations,"▶ 카자흐스탄 아스타나에서 미국과 중앙아시아 5개국(C5+1) 간 핵심 광물 대화가 개최되어 공급망, 투자 및 기술 협력 강화 방안을 논의
▶ 미 트럼프 행정부는 중앙아시아를 신뢰할 수 있는 전략적 파트너로 꼽으며, 미 국제개발금융공사(DFC)를 통해 이 지역의 핵심 광물, 통신, 인프라에 대한 투자를 적극 모색 중이라고 강조
▶ 양측은 지질 탐사, 채굴·가공, 글로벌 가치사슬 편입 등 3대 우선 과제를 중심으로 '핵심 광물 대화 로드맵'을 실행하기 위한 전담 특별위원회를 구성하고 공동 프로젝트 펀딩 등을 추진하기로 함",https://astanatimes.com/2026/06/critical-minerals-open-new-chapter-in-us-central-asia-relations/
2026-06-09,Rare-Earth Developer Aclara Seeks US Backing for Chile Mine,"▶ 희토류 개발사 아클라라가 중국의 핵심 광물 독점을 견제하려는 미 트럼프 행정부 기조에 맞춰, 칠레 최초의 희토류 광산 개발을 위해 미 국제개발금융공사(DFC)와 자금 지원을 논의 중
▶ DFC의 지원 규정 완화와 지난 4월 미-칠레 핵심 광물 협정 체결에 힘입어 협상이 긍정적으로 진행 중이며, 해당 프로젝트는 최근 칠레 당국의 최종 환경 승인을 획득
▶ 아클라라는 남미 광산과 미국의 가공 능력을 연결하는 15억 달러 규모의 공급망을 구축하려 하며, 순조로울 경우 2028년부터 중(重)희토류 추출을 시작할 계획",https://www.bloomberg.com/news/articles/2026-06-08/rare-earth-developer-aclara-seeks-us-backing-for-chilean-project
2026-06-09,"S. Korea, Mongolia launch strategic dialogue for critical minerals, supply chain cooperation","▶ 한국과 몽골이 핵심 광물과 공급망 협력을 강화하기 위해 차관급 전략대화를 출범하고 울란바토르에서 첫 회의를 개최
▶ 박윤주 외교부 1차관과 아르만투브신 몽골 외교차관은 희토류를 포함한 희소금속, 핵심 광물 공급망, 보건 의료 분야에서 실질적인 협력을 추진하기로 함
▶ 몽골 측은 이번 대화 체계를 통해 그린 기술, 인공지능(AI) 등 미래 지향적 분야로 협력을 확대하고 가시적인 성과를 내기를 희망
▶ 양측은 한반도 정세에 대해서도 의견을 교환하며 역내 평화와 안정을 위해 계속 협력하기로 합의",https://en.yna.co.kr/view/AEN20260609001900315
2026-06-08,"China's rare-earth exports to Japan drop 80%, sending companies scrambling","▶ 3월과 4월 기준, 중국의 대일본 희토류 수출량이 전년 동기 대비 80% 이상 폭락한 것으로 나타남
▶ 예기치 못한 공급 절벽에 직면한 일본 제조업체 및 관련 기업들은 긴급히 대체 공급망 확보에 나서는 등 큰 혼란을 겪고 있음
▶ 일본 기업들은 중국 의존도를 낮추기 위해 호주와 인도 등으로 수입선을 다변화하는 방안을 모색 중",https://asia.nikkei.com/business/materials/china-s-rare-earth-exports-to-japan-drop-80-sending-companies-scrambling
2026-06-08,The Fight to Break China’s Rare-Earth Dominance Moves to a New Front in Brazil,"▶ 서방 기업들이 중국의 독점(가공·자석 생산 90% 장악)을 깨기 위해 세계 2위 희토류 매장국인 브라질에 투자를 쏟아붓고 있음
▶ 트럼프 행정부는 중국의 수출 통제에 맞서 미국계 기업의 브라질 광산 인수를 지원하고 미 DFC 자금 조달을 논의하는 등 서방 공급망 확보에 공을 들이고 있음
▶ 현재 중국 BYD 등도 브라질에 막대한 투자를 이어가고 있어, 향후 브라질이 희토류 강국이 되더라도 서방만의 공급망이 아닌 미·중의 복합적 전장이 될 가능성이 큼",https://www.wsj.com/world/china/a-new-front-is-opening-in-the-fight-to-break-chinas-rare-earth-dominance-8b96729d
2026-06-05,"Russia, Uzbekistan start construction of nuclear power plant","▶ 러시아와 우즈베키스탄이 우즈베크 동중부 지자흐(Jizzakh) 지역에 중앙아시아 최초의 원자력 발전소 건설을 착공
▶ 해당 원전은 대형 원자로 2기(각 1,000MW)와 소형 모듈러 원자로(SMR) 2기(각 55MW)를 결합한 형태로, 러시아 로사톰의 기술과 차관을 지원받아 건설되며 우즈베크 전력 수요의 15%를 담당할 예정
▶ 러시아는 지난달 카자흐스탄과도 165억 달러 규모의 원전 건설 계약을 체결한 바 있으며, 미·중의 영향력 확대에 대응해 자국의 전통적 세력권인 중앙아시아에서 에너지 패권을 공고히 하려는 의도로 분석",https://www.reuters.com/business/energy/russia-uzbekistan-start-construction-nuclear-power-plant-2026-06-05/
2026-06-03,USA Rare Earth finalizes deals for up to $1.6 billion in funding under CHIPS Act,"▶ 미국 희토류 기업 USA 레어 어스(USA Rare Earth)가 미 상무부와 CHIPS법(반도체법) 지원을 통해 최대 16억 달러 규모의 자금 조달 계약을 체결
▶ 이번 자금은 텍사스주 '라운드 탑(Round Top)' 광산 개발과 사우스캐롤라이나주의 신규 영구자석 제조 시설(12억 달러 규모) 구축 등 '채굴부터 자석 생산'까지의 독자 공급망에 투입
▶ 올 초 유치한 민간 자본 15억 달러를 더해 총 35억 달러의 투자금을 확보했으며, 2028년 첫 생산을 목표로 대중국 희토류 의존도 낮추기에 본격 착수",https://www.reuters.com/business/usa-rare-earth-finalizes-deals-up-16-billion-funding-under-chips-act-2026-06-03/
2026-06-01,Australia & Japan Developing Critical Mineral Supply Chains,"▶ 일본과 호주 총리가 2026년 5월 정상회담을 통해 핵심 광물, 에너지, 식량 공급망 파트너십을 공식 체결하며 특정국(중국)에 대한 의존도 낮추기에 나섬
▶ 양국은 조달 프레임워크와 물류 인프라를 공동 개발하고 비상 비축 제도를 마련했으며, 호주는 초기 예산으로 13억 호주 달러(약 9억 4,300만 달러)를 배정
▶ 호주 라이너스(Lynas)의 중희토류 생산 및 알코아(Alcoa) 정련소의 갈륨 회수 등 기존 협력을 다각화하고, 국내 제련 및 가공 역량을 높여 해외 의존도를 낮출 계획",https://supplychaindigital.com/news/australia-japan-developing-critical-mineral-supply-chains
2026-05-31,The US and China Face Off in Australia... All Because of 'This' [Weekend Money],"▶ 호주 정부가 자국 희토류 광산의 중국계 지분 강제 매각을 명령하면서 호주를 무대로 한 미·중 희토류 공급망 경쟁이 격화
▶ 호주는 독자 공급망 구축을 시도 중이나, 분리·가공 과정에서 여전히 중국산 특수 장비와 화학 물질에 크게 의존
▶ 중국은 반도체 규제와 유사한 방식으로 희토류 추출·가공 기술 및 해외 가공에 대한 수출 통제를 대폭 강화
▶ 이로 인해 서방 방산·첨단 산업의 타격이 커졌으며, 중동 분쟁으로 무기 압박을 받는 미국의 대중국 협상력도 약화",https://www.asiae.co.kr/en/article/world-general/2026052817040299897
2026-05-31,Brazil is set to cut into China's rare earths dominance,"▶ 세계 2위 희토류 매장국인 브라질이 AI와 재생에너지 붐에 힘입어 중국의 공급망 독점을 깨뜨릴 대안으로 부상하고 있음
▶ 미국 USA 레어 어스가 브라질 핵심 광산을 인수하고 미 정부와 15년 공급 계약을 체결하는 등 서방 자본의 투자가 급증",https://www.dw.com/en/brazil-is-set-to-cut-into-chinas-rare-earths-dominance/a-77344696
